ID Year,Year,ID Employment Time Status,Employment Time Status,ID Detailed Occupation,Detailed Occupation,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Sex,ID Sex
2016,"2016",1,"Full-time","252020","Elementary & middle school teachers",71284.14824404933,3543.3779371776886,52137,5585.169164853585,2787,"New York","04000US36","Male",1
2016,"2016",1,"Full-time","291141","Registered nurses",76029.7118775217,8140.647660859222,18093,3298.163546042781,855,"New York","04000US36","Male",1
2016,"2016",1,"Full-time","412031","Retail salespersons",50468.73141071655,4947.868316738298,71049,6511.106496097718,3173,"New York","04000US36","Male",1
2016,"2016",1,"Full-time","412010","Cashiers",32055.491852146264,5422.514645923711,30192,4256.85626526545,1152,"New York","04000US36","Male",1
2016,"2016",1,"Full-time","252020","Elementary & middle school teachers",67211.69537252531,1932.5260181896062,165425,9867.806215169456,9030,"New York","04000US36","Female",2
2016,"2016",1,"Full-time","291141","Registered nurses",73695.2082612735,2329.4093162116847,139930,9092.387017340994,7220,"New York","04000US36","Female",2
2016,"2016",1,"Full-time","412031","Retail salespersons",36805.67155825124,3927.806547805108,49132,5422.989181334171,2055,"New York","04000US36","Female",2
2016,"2016",1,"Full-time","412010","Cashiers",25246.063445670545,3183.1505228402184,50295,5486.341734751279,2030,"New York","04000US36","Female",2
2015,"2015",1,"Full-time","252020","Elementary & middle school teachers",70420.1702786985,3523.851185801232,50987,5523.507816239469,2740,"New York","04000US36","Male",1
2015,"2015",1,"Full-time","291141","Registered nurses",76261.35659056317,9426.149125555647,16425,3142.799453977031,784,"New York","04000US36","Male",1
2015,"2015",1,"Full-time","412031","Retail salespersons",50110.00408810279,5082.345153385683,71916,6550.0130002560845,3186,"New York","04000US36","Male",1
2015,"2015",1,"Full-time","412010","Cashiers",32653.5499339934,5587.021878875491,30300,4264.350331047846,1175,"New York","04000US36","Male",1
2015,"2015",1,"Full-time","252020","Elementary & middle school teachers",66525.21780933363,1867.4696283027763,162252,9773.962298956334,8872,"New York","04000US36","Female",2
2015,"2015",1,"Full-time","291141","Registered nurses",73114.70201493196,2331.654563593871,136084,8968.291009427474,7032,"New York","04000US36","Female",2
2015,"2015",1,"Full-time","412031","Retail salespersons",36276.17422706787,3918.539183364677,50813,5514.1440289533175,2127,"New York","04000US36","Female",2
2015,"2015",1,"Full-time","412010","Cashiers",23991.523158966986,2743.8456726796935,50067,5473.811177896696,2057,"New York","04000US36","Female",2
2014,"2014",1,"Full-time","252020","Elementary & middle school teachers",70994.08939514795,3552.6891326144478,51401,5545.4643207927575,2764,"New York","04000US36","Male",1
2014,"2014",1,"Full-time","291141","Registered nurses",77086.75260869565,9201.58641634377,16100,3111.5784470192816,769,"New York","04000US36","Male",1
2014,"2014",1,"Full-time","412031","Retail salespersons",51179.909028094466,5444.232944735914,72363,6569.694699121092,3239,"New York","04000US36","Male",1
2014,"2014",1,"Full-time","412010","Cashiers",32702.722972087537,5055.775070759084,30524,4279.897439779285,1176,"New York","04000US36","Male",1
2014,"2014",1,"Full-time","252020","Elementary & middle school teachers",67069.71590223764,1879.2373515874879,160839,9730.880673953408,8755,"New York","04000US36","Female",2
2014,"2014",1,"Full-time","291141","Registered nurses",73478.16837881462,2341.5210485964717,132582,8853.33169383961,6916,"New York","04000US36","Female",2
2014,"2014",1,"Full-time","412031","Retail salespersons",36424.07186493608,3828.8942445740913,51235,5536.5695699261105,2156,"New York","04000US36","Female",2
2014,"2014",1,"Full-time","412010","Cashiers",24627.29839871735,2712.8037824485905,49273,5430.302859456768,2054,"New York","04000US36","Female",2
